"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.shellcode","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance","acc.shellcode"
17,1,0.846,0.984,0.881,0.898,0.945,0.993,0.888,0.794,0.966,0.840010015022534,0.932429908492367,0.76365449202351,0.756171043873408,0.774763328728932,0.977818364296798,0.488955823293173,0.499624154347281
17,2,0.801,0.985,0.895,0.902,0.959,0.995,0.908,0.382,0.969,0.839008512769154,0.925719953026572,0.59135121584357,0.753207955053797,0.812089646756227,0.97472141712228,0.614097744360902,NA
17,3,0.85,0.989,0.897,0.914,0.956,0.994,0.901,0.661,0.972,0.845229151014275,0.924278815707371,0.591349047141424,0.776245518152057,0.822714059116925,0.972475623209772,0.703623396172317,NA
17,4,0.833,0.985,0.911,0.905,0.956,0.995,0.89,0.712,0.969,0.838216879539194,0.924834039469196,0.79990336296869,0.756688311688312,0.816031092766828,0.970203113723064,0.488975194186921,NA
17,5,0.831,0.982,0.882,0.903,0.957,0.993,0.847,0.691,0.966,0.837837837837838,0.920885769103812,0.627831641382457,0.755271048686183,0.828048219251765,0.976637076453178,0.488852705410822,NA
18,1,0.84,0.988,0.853,0.91,0.945,0.994,0.878,0.656,0.969,0.839008512769154,0.925595139306682,0.616353383458647,0.757019382290833,0.799450813565025,0.976005296569,0.689220355978942,NA
18,2,0.818,0.983,0.864,0.902,0.955,0.995,0.839,0.636,0.966,0.840220385674931,0.926164410931321,0.574680210684725,0.754541130581691,0.822583156404812,0.976163435192164,0.614095011281023,NA
18,3,0.848,0.985,0.882,0.904,0.963,0.994,0.894,0.714,0.969,0.842513770655984,0.922947729946673,0.741357715430862,0.762499645827135,0.825123142104266,0.977534023264825,0.614086803813347,NA
18,4,0.818,0.982,0.924,0.898,0.947,0.995,0.895,0.551,0.966,0.837837837837838,0.921466852251396,0.991485098923115,0.756278103283826,0.806986872776347,0.977310873005646,0.488983475212819,NA
18,5,0.788,0.986,0.905,0.904,0.961,0.994,0.901,0.307,0.97,0.831705484598047,0.92560534268552,0.529793196752996,0.745663316381692,0.790590680046514,0.972518413252268,0.488969666583104,NA
19,1,0.858,0.986,0.925,0.903,0.955,0.996,0.884,0.79,0.97,0.839549436795995,0.925100039259518,0.691478696741855,0.753666451187871,0.812158895259428,0.975624054182674,0.738980716253444,NA
19,2,0.842,0.986,0.901,0.9,0.949,0.992,0.855,0.628,0.966,0.834251377065598,0.92427597481246,0.691476560541489,0.750982100157136,0.794547117326525,0.973146927617712,0.822559091288733,NA
19,3,0.816,0.983,0.874,0.898,0.959,0.995,0.871,0.656,0.967,0.837174348697395,0.922439010999825,0.616349047141424,0.749198240690559,0.808440735711028,0.977603142068052,0.488972431077694,NA
19,4,0.832,0.983,0.865,0.906,0.963,0.994,0.895,0.649,0.968,0.843014521782674,0.921986479588467,0.616353383458647,0.762427633337554,0.825123142104266,0.979106284171003,0.488975194186921,NA
19,5,0.821,0.984,0.852,0.91,0.96,0.994,0.88,0.621,0.969,0.841301627033792,0.928550252155118,0.616230268103232,0.762252663622527,0.801398102082182,0.974177949709865,0.739105935386927,NA
20,1,0.867,0.987,0.904,0.911,0.958,0.993,0.896,0.76,0.971,0.837215126471325,0.924550488604407,0.556779104150695,0.753197177554638,0.824846707544655,0.975024112078909,0.488975194186921,NA
20,2,0.838,0.984,0.879,0.901,0.953,0.994,0.902,0.641,0.968,0.835170340681363,0.917551244013869,0.741353383458647,0.749196222379972,0.836707665988261,0.972391782994551,0.488969666583104,NA
20,3,0.816,0.985,0.903,0.905,0.95,0.995,0.876,0.521,0.968,0.841341341341341,0.927548960844828,0.491236855282924,0.759595986801066,0.800188855375612,0.977503328740827,0.488861076345432,0.499624530663329
20,4,0.808,0.985,0.887,0.897,0.945,0.992,0.86,0.592,0.965,0.838007010515774,0.930870170484672,0.866604010025063,0.761615541813648,0.770791146691783,0.971733254038224,0.655884319625543,NA
20,5,0.827,0.984,0.869,0.904,0.958,0.995,0.888,0.614,0.968,0.838548185231539,0.921184808942258,0.991236855282924,0.755951612353636,0.818659714409541,0.974444671991262,0.68922305764411,NA
